Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1ConcurrentUndoCycle,Magic Number,The method contains a magic number: 0.01,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1ConcurrentUndoCycle,Magic Number,The method contains a magic number: 0.002662,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1ConcurrentUndoCycle,Magic Number,The method contains a magic number: 0.000001,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testAdaptiveSizePolicy,Magic Number,The method contains a magic number: 6,28
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testAdaptiveSizePolicy,Magic Number,The method contains a magic number: 5,28
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testAdaptiveSizePolicy,Magic Number,The method contains a magic number: 0.1024222,28
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testAdaptiveSizePolicy,Magic Number,The method contains a magic number: 0.000001,28
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testAdaptiveSizePolicy,Magic Number,The method contains a magic number: 0.0583435,28
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testAdaptiveSizePolicy,Magic Number,The method contains a magic number: 0.000001,28
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testAdaptiveSizePolicy,Magic Number,The method contains a magic number: 0.0440787,28
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testAdaptiveSizePolicy,Magic Number,The method contains a magic number: 0.000001,28
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSPrintGCDetails,Long Statement,The length of the statement "assertEquals("sum of pauses"`model.getPause().getSum()`model.getFullGCPause().getSum() + model.getGCPause().getSum()`0.0000001);" is 128.,46
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSPrintGCDetails,Magic Number,The method contains a magic number: 515,46
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSPrintGCDetails,Magic Number,The method contains a magic number: 88.2823289184,46
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSPrintGCDetails,Magic Number,The method contains a magic number: 0.00000001,46
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSPrintGCDetails,Magic Number,The method contains a magic number: 0.0000001,46
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSPrintGCDetails,Magic Number,The method contains a magic number: 9.1337492,46
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSPrintGCDetails,Magic Number,The method contains a magic number: 0.0000001,46
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSPrintGCDetails,Magic Number,The method contains a magic number: 7.4672903,46
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSPrintGCDetails,Magic Number,The method contains a magic number: 0.00000001,46
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testParallelOldGC,Magic Number,The method contains a magic number: 27.0696262,60
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testParallelOldGC,Magic Number,The method contains a magic number: 0.000001,60
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSIncrementalPacing,Magic Number,The method contains a magic number: 810,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSIncrementalPacing,Magic Number,The method contains a magic number: 94.181240109114,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSIncrementalPacing,Magic Number,The method contains a magic number: 0.00000001,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSIncrementalPacing,Magic Number,The method contains a magic number: 2.3410947,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSIncrementalPacing,Magic Number,The method contains a magic number: 0.000000001,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSIncrementalPacing,Magic Number,The method contains a magic number: 2.3410947,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSIncrementalPacing,Magic Number,The method contains a magic number: 0.000000001,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSIncrementalPacing,Magic Number,The method contains a magic number: 0.01,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testPromotionFailure,Magic Number,The method contains a magic number: 6,85
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testPromotionFailure,Magic Number,The method contains a magic number: 98.0937624615,85
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testPromotionFailure,Magic Number,The method contains a magic number: 0.00000001,85
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testPromotionFailure,Magic Number,The method contains a magic number: 8.413616,85
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testPromotionFailure,Magic Number,The method contains a magic number: 0.000001,85
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSConcurrentModeFailure,Magic Number,The method contains a magic number: 3417,97
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSConcurrentModeFailure,Magic Number,The method contains a magic number: 78.558339113,97
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSConcurrentModeFailure,Magic Number,The method contains a magic number: 0.00000001,97
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSConcurrentModeFailure,Magic Number,The method contains a magic number: 181.8116798,97
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCMSConcurrentModeFailure,Magic Number,The method contains a magic number: 0.000000001,97
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCmsScavengeBeforeRemark,Long Statement,The length of the statement "final ByteArrayInputStream in=new ByteArrayInputStream(("0.871: [GC[YG occupancy: 16241 K (16320 K)]0.871: [Scavenge-Before-Remark0.871: [Full GC 0.871: [ParNew: 16241K->0K(16320K)` 0.0311294 secs] 374465K->374455K(524224K)` 0.0312110 secs]" + "\n` 0.0312323 secs]" + "\n0.902: [Rescan (parallel) ` 0.0310561 secs]0.933: [weak refs processing` 0.0000152 secs] [1 CMS-remark: 374455K(507904K)] 374455K(524224K)` 0.0624207 secs]").getBytes());" is 441.,109
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCmsScavengeBeforeRemark,Magic Number,The method contains a magic number: 2,109
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCmsScavengeBeforeRemark,Magic Number,The method contains a magic number: 0.0312110,109
