Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Watch.TimerInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Watch.GCDocumentCloseListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: gcDocument
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Watch.GCDocumentCloseListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,OpenSeries,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,OSXFullScreen,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,OpenURL,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,LicenseAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Export,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Export,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: gcViewer; saveDialog; EXT_FILE_FILTERS; description; dataWriterType
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Export.ExportExtensionFileFilter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: EXT_FILE_FILTERS; description; dataWriterType
